id;product_code;location_from;location_to;quantity;created_date
1;hybrid;Enterprise-wide bricks-and-clicks Licensed;Iranian Rial Future-proofed;8778;2020-10-17T14:51:22
2;connecting;Concrete neural Awesome Granite Soap;Avon cross-media;93529;2020-10-17T13:22:02
3;maximized Solutions;port;Hill;71408;2020-10-18T04:06:15
4;Frozen transmitter;Principal Fantastic Auto Loan Account;Principal Rubber Benin;17946;2020-10-18T06:26:28
5;Borders;Manors national;grey;732;2020-10-17T23:56:29
6;Handcrafted;Chicken deposit;backing up;27349;2020-10-18T04:16:10
7;Function-based Multi-layered;capacitor;monitor withdrawal;43566;2020-10-18T06:24:12
8;Legacy;JBOD Concrete violet;Heard Island and McDonald Islands;34550;2020-10-17T21:37:34
9;Checking Account Avon Centers;Fiji Pizza;protocol Intelligent Plastic Cheese;83721;2020-10-17T09:42:58
10;solutions hacking;recontextualize Money Market Account Representative;Cambridgeshire Auto Loan Account web services;94403;2020-10-18T01:22:42
